nome,total_registros,total_imagens,reconhecidos_automaticamente,nomeados_manualmente,origem_desconhecida,taxa_auto_percentual,primeira_ocorrencia,ultima_ocorrencia
Rivaldo,11,11,4,7,0,36.4,2002-01-02 01:00,2002-01-19 01:00
Ronaldo,11,11,8,3,0,72.7,2002-01-01 01:00,2002-01-15 01:00
Cafu,8,8,6,2,0,75.0,2002-01-06 01:00,2002-01-15 01:00
Edmilson,6,6,5,1,0,83.3,2002-01-10 01:00,2002-01-16 01:00
Gilberto,6,6,4,2,0,66.7,2002-01-02 01:00,2002-01-15 01:00
Roberto Carlos,6,6,5,1,0,83.3,2002-01-10 01:00,2002-01-15 01:00
Ronaldinho,6,6,5,1,0,83.3,2002-01-01 01:00,2002-01-15 01:00
Kleber,5,5,4,1,0,80.0,2002-01-10 01:00,2002-01-15 01:00
Lucio,5,5,4,1,0,80.0,2002-01-10 01:00,2002-01-15 01:00
Marcos,5,5,4,1,0,80.0,2002-01-10 01:00,2002-01-15 01:00
Roque Jr,5,5,2,3,0,40.0,2002-01-10 01:00,2002-01-15 01:00
Anderson Polga,3,3,2,1,0,66.7,2002-01-10 01:00,2002-01-13 01:00
Junior,3,3,2,1,0,66.7,2002-01-10 01:00,2002-01-13 01:00
Kaka,3,3,2,1,0,66.7,2002-01-10 01:00,2002-01-13 01:00
Luizão,3,3,2,1,0,66.7,2002-01-10 01:00,2002-01-13 01:00
Ricardinho,3,3,2,1,0,66.7,2002-01-10 01:00,2002-01-13 01:00
Vampeta,3,3,2,1,0,66.7,2002-01-10 01:00,2002-01-13 01:00
Edilson,2,2,0,2,0,0.0,2002-01-10 01:00,2002-01-10 01:00
Juninho Paulista,2,2,1,1,0,50.0,2002-01-10 01:00,2002-01-14 01:00
Belletti,1,1,0,1,0,0.0,2002-01-10 01:00,2002-01-10 01:00
Denilson,1,1,0,1,0,0.0,2002-01-10 01:00,2002-01-10 01:00
Dida,1,1,0,1,0,0.0,2002-01-10 01:00,2002-01-10 01:00
Rogerio Ceni,1,1,0,1,0,0.0,2002-01-10 01:00,2002-01-10 01:00
